year,county,meanRate,meanLabor,meanEmployed,meanUnemployed
2013,albany,6.058333333333334,160808.33333333334,151075,9750
2013,allegany,7.5,23808.333333333332,22e3,1783.3333333333333
2013,bronx,11.766666666666666,603450,532425,71050
2013,broome,7.758333333333333,91925,84766.66666666667,7158.333333333333
2013,cattaraugus,8.508333333333333,38108.333333333336,34850,3250
2013,cayuga,7.366666666666667,38858.333333333336,35991.666666666664,2866.6666666666665
2013,chautauqua,8.025,60233.333333333336,55400,4825
2013,chemung,7.883333333333333,39600,36475,3133.3333333333335
2013,chenango,7.325,24100,22333.333333333332,1758.3333333333333
2013,clinton,8.308333333333334,37166.666666666664,34083.333333333336,3083.3333333333335
2013,columbia,6,31858.333333333332,29933.333333333332,1916.6666666666667
2013,cortland,7.75,24308.333333333332,22425,1866.6666666666667
2013,delaware,7.8500000000000005,21041.666666666668,19383.333333333332,1666.6666666666667
2013,dutchess,6.675,145600,135891.66666666666,9716.666666666666
2013,erie,7.391666666666667,460258.3333333333,426158.3333333333,34116.666666666664
2013,essex,8.291666666666666,18100,16608.333333333332,1491.6666666666667
2013,franklin,8.825,21550,19641.666666666668,1916.6666666666667
2013,fulton,9.466666666666667,24750,22391.666666666668,2333.3333333333335
2013,genesee,6.85,30533.333333333332,28450,2091.6666666666665
2013,greene,8.758333333333333,21358.333333333332,19483.333333333332,1875
2013,hamilton,9.733333333333333,2433.3333333333335,2183.3333333333335,233.33333333333334
2013,herkimer,7.825,30016.666666666668,27658.333333333332,2341.6666666666665
2013,jefferson,9.233333333333333,48325,43875,4458.333333333333
2013,kings,9.341666666666667,1212008.3333333333,1098650,113366.66666666667
2013,lewis,9.45,12241.666666666666,11083.333333333334,1150
2013,livingston,7.025,31883.333333333332,29633.333333333332,2250
2013,madison,7.608333333333333,34425,31791.666666666668,2616.6666666666665
2013,monroe,6.975,374641.6666666667,348516.6666666667,26141.666666666668
2013,montgomery,9.183333333333334,23175,21050,2116.6666666666665
2013,nassau,5.9,697083.3333333334,655875,41191.666666666664
2013,new york,7.516666666666667,904858.3333333334,836908.3333333334,67950
2013,niagara,8.475,105058.33333333333,96150,8891.666666666666
2013,oneida,7.441666666666666,107233.33333333333,99291.66666666667,7983.333333333333
2013,onondaga,6.841666666666667,231716.66666666666,215866.66666666666,15850
2013,ontario,6.275,55925,52400,3500
2013,orange,6.833333333333333,178966.66666666666,166733.33333333334,12225
2013,orleans,9.066666666666666,18716.666666666668,17016.666666666668,1708.3333333333333
2013,oswego,9.85,57225,51566.666666666664,5650
2013,otsego,6.833333333333334,31133.333333333332,29008.333333333332,2125
2013,putnam,6.066666666666666,51375,48250,3125
2013,queens,7.741666666666667,1143141.6666666667,1054716.6666666667,88433.33333333333
2013,rensselaer,6.666666666666667,83508.33333333333,77925,5583.333333333333
2013,richmond,8.966666666666667,221066.66666666666,201241.66666666666,19833.333333333332
2013,rockland,6.266666666666667,150783.33333333334,141341.66666666666,9441.666666666666
2013,saratoga,5.808333333333334,118108.33333333333,111250,6850
2013,schenectady,6.691666666666666,78050,72825,5216.666666666667
2013,schoharie,8.116666666666667,15308.333333333334,14050,1241.6666666666667
2013,schuyler,8.8,8875,8100,783.3333333333334
2013,seneca,6.941666666666666,15925,14833.333333333334,1100
2013,st lawrence,9.116666666666667,48500,44066.666666666664,4416.666666666667
2013,steuben,8.45,45691.666666666664,41816.666666666664,3858.3333333333335
2013,suffolk,6.6,781625,730041.6666666666,51583.333333333336
2013,sullivan,8.141666666666667,34583.333333333336,31775,2808.3333333333335
2013,tioga,7.116666666666666,24958.333333333332,23191.666666666668,1791.6666666666667
2013,tompkins,5.216666666666667,55916.666666666664,53016.666666666664,2916.6666666666665
2013,ulster,7.141666666666667,90358.33333333333,83900,6458.333333333333
2013,warren,8.208333333333334,33166.666666666664,30433.333333333332,2708.3333333333335
2013,washington,7.483333333333333,29425,27216.666666666668,2200
2013,wayne,7.566666666666666,45966.666666666664,42483.333333333336,3475
2013,westchester,6.241666666666667,477675,447800,29875
2013,wyoming,7.916666666666667,18825,17333.333333333332,1483.3333333333333
2013,yates,6.833333333333333,11983.333333333334,11166.666666666666,825
2014,albany,4.883333333333334,157966.66666666666,150225,7716.666666666667
2014,allegany,6.2,23425,21958.333333333332,1441.6666666666667
2014,bronx,9.791666666666666,609083.3333333334,549425,59633.333333333336
2014,broome,6.625,88400,82525,5866.666666666667
2014,cattaraugus,6.975,36775,34208.333333333336,2566.6666666666665
2014,cayuga,5.983333333333333,37783.333333333336,35525,2250
2014,chautauqua,6.8,58041.666666666664,54091.666666666664,3950
2014,chemung,6.25,38333.333333333336,35941.666666666664,2400
2014,chenango,6.208333333333333,23283.333333333332,21833.333333333332,1450
2014,clinton,6.6,36158.333333333336,33750,2383.3333333333335
2014,columbia,4.716666666666667,31466.666666666668,29975,1491.6666666666667
2014,cortland,6.508333333333334,23775,22216.666666666668,1550
2014,delaware,6.566666666666666,20108.333333333332,18791.666666666668,1316.6666666666667
2014,dutchess,5.308333333333334,142875,135283.33333333334,7600
2014,erie,6.091666666666667,450408.3333333333,422958.3333333333,27441.666666666668
2014,essex,6.883333333333334,17625,16425,1216.6666666666667
2014,franklin,7.233333333333333,20608.333333333332,19100,1500
2014,fulton,7.65,23533.333333333332,21733.333333333332,1808.3333333333333
2014,genesee,5.55,30141.666666666668,28491.666666666668,1658.3333333333333
2014,greene,6.7250000000000005,20808.333333333332,19400,1416.6666666666667
2014,hamilton,7.591666666666667,2425,2266.6666666666665,183.33333333333334
2014,herkimer,6.775,28983.333333333332,27025,1958.3333333333333
2014,jefferson,7.608333333333333,46808.333333333336,43250,3550
